Batch: 550 ảnh từ eval_boxes_550.csv
[ok] SS22-08173^2022_02_09_14_19_00^^.jpg | 1 box | u=43880px (0.9% ảnh) -> eval_masks_550/SS22-08173^2022_02_09_14_19_00^^.png
[ok] SS22-08173^2022_02_10_08_19_31^^.jpg | 1 box | u=127382px (2.6% ảnh) -> eval_masks_550/SS22-08173^2022_02_10_08_19_31^^.png
[ok] SS22-08279^2022_02_11_08_59_50^^.jpg | 1 box | u=641772px (12.9% ảnh) -> eval_masks_550/SS22-08279^2022_02_11_08_59_50^^.png
[ok] SS22-08279^2022_02_11_09_00_12^^.jpg | 1 box | u=1163541px (23.3% ảnh) -> eval_masks_550/SS22-08279^2022_02_11_09_00_12^^.png
[ok] SS22-08886^2022_02_14_08_23_29^^.jpg | 1 box | u=247446px (5.0% ảnh) -> eval_masks_550/SS22-08886^2022_02_14_08_23_29^^.png
[ok] SS22-08886^2022_02_14_08_24_05^^.jpg | 1 box | u=694073px (13.9% ảnh) -> eval_masks_550/SS22-08886^2022_02_14_08_24_05^^.png
[ok] SS22-09683^2022_02_16_09_43_22^^.jpg | 1 box | u=102646px (2.1% ảnh) -> eval_masks_550/SS22-09683^2022_02_16_09_43_22^^.png
[ok] SS22-10249^2022_02_17_13_31_29^^.jpg | 1 box | u=1400770px (28.1% ảnh) -> eval_masks_550/SS22-10249^2022_02_17_13_31_29^^.png
[ok] SS22-11242^2022_02_22_11_13_42^^.jpg | 1 box | u=2361803px (47.3% ảnh) -> eval_masks_550/SS22-11242^2022_02_22_11_13_42^^.png
[ok] SS22-11534^2022_02_23_10_06_04^^.jpg | 1 box | u=851713px (17.1% ảnh) -> eval_masks_550/SS22-11534^2022_02_23_10_06_04^^.png
[ok] SS22-11842^2022_02_24_10_27_00^^.jpg | 1 box | u=756313px (15.2% ảnh) -> eval_masks_550/SS22-11842^2022_02_24_10_27_00^^.png
[ok] SS22-11842^2022_02_25_11_06_04^^.jpg | 1 box | u=630367px (12.6% ảnh) -> eval_masks_550/SS22-11842^2022_02_25_11_06_04^^.png
[ok] SS22-11929^2022_02_25_08_21_24^^.jpg | 1 box | u=489293px (9.8% ảnh) -> eval_masks_550/SS22-11929^2022_02_25_08_21_24^^.png
[ok] SS22-11929^2022_02_25_08_21_37^^.jpg | 1 box | u=382019px (7.7% ảnh) -> eval_masks_550/SS22-11929^2022_02_25_08_21_37^^.png
[ok] SS22-12428^2022_02_28_10_42_00^^.jpg | 1 box | u=578240px (11.6% ảnh) -> eval_masks_550/SS22-12428^2022_02_28_10_42_00^^.png
[ok] SS22-12428^2022_02_28_10_48_45^^.jpg | 1 box | u=36352px (0.7% ảnh) -> eval_masks_550/SS22-12428^2022_02_28_10_48_45^^.png
[ok] SS22-13637^2022_03_07_14_24_43^^.jpg | 1 box | u=50301px (1.0% ảnh) -> eval_masks_550/SS22-13637^2022_03_07_14_24_43^^.png
[ok] SS22-13977^2022_03_08_13_53_19^^.jpg | 1 box | u=177953px (3.6% ảnh) -> eval_masks_550/SS22-13977^2022_03_08_13_53_19^^.png
[ok] SS22-14290^2022_03_10_13_38_31^^.jpg | 1 box | u=1176182px (23.6% ảnh) -> eval_masks_550/SS22-14290^2022_03_10_13_38_31^^.png
[ok] SS22-15172^2022_03_16_08_58_17^^.jpg | 1 box | u=561868px (11.3% ảnh) -> eval_masks_550/SS22-15172^2022_03_16_08_58_17^^.png
[ok] SS22-15203^2022_03_16_09_51_27^^.jpg | 1 box | u=665973px (13.3% ảnh) -> eval_masks_550/SS22-15203^2022_03_16_09_51_27^^.png
[ok] SS22-15203^2022_03_16_09_51_38^^.jpg | 1 box | u=391885px (7.9% ảnh) -> eval_masks_550/SS22-15203^2022_03_16_09_51_38^^.png
[ok] SS22-15289^2022_03_15_14_57_31^^.jpg | 1 box | u=1779383px (35.7% ảnh) -> eval_masks_550/SS22-15289^2022_03_15_14_57_31^^.png
[ok] SS22-15289^2022_03_16_09_27_15^^.jpg | 1 box | u=758730px (15.2% ảnh) -> eval_masks_550/SS22-15289^2022_03_16_09_27_15^^.png
[ok] SS22-15493^2022_03_16_10_00_43^^.jpg | 1 box | u=307552px (6.2% ảnh) -> eval_masks_550/SS22-15493^2022_03_16_10_00_43^^.png
[ok] SS22-15493^2022_03_17_09_59_29^^.jpg | 1 box | u=904869px (18.1% ảnh) -> eval_masks_550/SS22-15493^2022_03_17_09_59_29^^.png
[ok] SS22-15672^2022_03_17_09_50_19^^.jpg | 1 box | u=605689px (12.1% ảnh) -> eval_masks_550/SS22-15672^2022_03_17_09_50_19^^.png
